event	Site.Name	Ecosystem	Latitude	Longitude	Depth	Method	Block	datetime	Diver	BayRegion	Site.Code	Site.Code.2
Cayo Roldan Mangroves_6/20/17_2	Cayo Roldan Mangroves	Mangrove	9.21451	-82.324	0.25	1	2	2017-06-20T17:30:00Z	Will Wied	Inner Bay	ROL-M	M-ROL
Cayo Roldan Seagrass_6/20/17_1	Cayo Roldan Seagrass	Seagrass	9.2147	-82.324	1	1	1	2017-06-20T19:00:00Z	Janina Seemann	Inner Bay	ROL-S	S-ROL
Cayo Roldan Seagrass_6/20/17_2	Cayo Roldan Seagrass	Seagrass	9.2147	-82.324	0.75	1	2	2017-06-20T19:00:00Z	Will Wied	Inner Bay	ROL-S	S-ROL
Salt Creek Reef_7/4/17_1	Salt Creek Reef	Reef	9.27962	-82.10162	3	1	1	2017-07-04T15:00:00Z	Janina Seemann	Outside	SCR-C	C-SCR
Salt Creek Reef_7/4/17_2	Salt Creek Reef	Reef	9.27962	-82.10162	3	1	2	2017-07-04T15:00:00Z	Will Wied	Outside	SCR-C	C-SCR
Salt Creek Seagrass_7/4/17_1	Salt Creek Seagrass	Seagrass	9.28619	-82.10524	2	1	1	2017-07-04T17:00:00Z	Janina Seemann	Outside	SCR-S	S-SCR
Salt Creek Seagrass_7/4/17_2	Salt Creek Seagrass	Seagrass	9.28619	-82.10524	1.5	1	2	2017-07-04T17:00:00Z	Will Wied	Outside	SCR-S	S-SCR
Salt Creek Sand_7/4/17_1	Salt Creek Sand	Sand	9.28293	-82.10379	3	1	1	2017-07-04T16:00:00Z	Janina Seemann	Outside	SCR-Sa	Sa-SCR
Salt Creek Sand_7/4/17_2	Salt Creek Sand	Sand	9.28293	-82.10379	2.5	1	2	2017-07-04T16:00:00Z	Will Wied	Outside	SCR-Sa	Sa-SCR
Seagal Seagrass_7/12/17_1	Seagal Seagrass	Seagrass	9.28882	-82.29497	2	1	1	2017-07-12T19:30:00Z	Janina Seemann	Inner Bay	SGL-S	S-SGL
Seagal Seagrass_7/12/17_2	Seagal Seagrass	Seagrass	9.28882	-82.29497	1	1	2	2017-07-12T19:30:00Z	Will Wied	Inner Bay	SGL-S	S-SGL
Saigon Dock_7/7/17_1	Saigon Dock	Dock	9.34776	82.25618	2	1	1	2017-07-07T15:45:00Z	Janina Seemann	Outer Bay	SGN-D	D-SGN
Saigon Bay Mangrove_6/16/17_1	Saigon Bay Mangrove	Mangrove	9.34678	-82.25704	0.5	1	1	2017-06-16T18:30:00Z	Will Wied	Outer Bay	SGN-M	M-SGN
Saigon Bay Mangrove_6/16/17_2	Saigon Bay Mangrove	Mangrove	9.34678	-82.25704	1	1	2	2017-06-16T18:30:00Z	Janina Seemann	Outer Bay	SGN-M	M-SGN
Salt Creek Mangrove_7/4/17_1	Salt Creek Mangrove	Mangrove	9.28842	-82.1121	0.9	1	1	2017-07-04T18:00:00Z	Janina Seemann	Outside	SCR-M	M-SCR
Salt Creek Mangrove_7/4/17_2	Salt Creek Mangrove	Mangrove	9.28842	-82.1121	1	1	2	2017-07-04T18:00:00Z	Will Wied	Outside	SCR-M	M-SCR
Saigon Bay Seagrass_6/16/17_1	Saigon Bay Seagrass	Seagrass	9.34662	-82.25719	3	1	1	2017-06-16T20:00:00Z	Janina Seemann	Outer Bay	SGN-S	S-SGN
Saigon Bay Seagrass_6/16/17_2	Saigon Bay Seagrass	Seagrass	9.34662	-82.25719	3	1	2	2017-06-16T19:10:00Z	Will Wied	Outer Bay	SGN-S	S-SGN
Cayo Hermanas Mangroves_6/19/17_1	Cayo Hermanas Mangroves	Mangrove	9.2691	-82.3517	1	1	1	2017-06-19T19:30:00Z	Janina Seemann	Inner Bay	SIS-M	M-SIS
Cayo Hermanas Mangroves_6/19/17_3	Cayo Hermanas Mangroves	Mangrove	9.2691	-82.3517	1	1	3	2017-06-19T19:30:00Z	Will Wied	Inner Bay	SIS-M	M-SIS
Cayo Hermanas Seagrass_6/19/17_1	Cayo Hermanas Seagrass	Seagrass	9.268787	-82.351869	1.5	1	1	2017-06-19T20:30:00Z	Janina Seemann	Inner Bay	SIS-S	S-SIS
Cayo Hermanas Seagrass_6/19/17_2	Cayo Hermanas Seagrass	Seagrass	9.268787	-82.351869	1.3	1	2	2017-06-19T20:30:00Z	Will Wied	Inner Bay	SIS-S	S-SIS
