phylum	class	order	family	genus	species	tsn	accepted_tsn	in_bocas_db_raw	in_bocas_db_acctsn	acctsn_or_raw_in_bdb
Mollusca	Gastropoda	Aplysiida	Aplysiidae	Stylocheilus	Stylocheilus longicauda	78058	78058	FALSE	FALSE	FALSE
Mollusca	Gastropoda	NA	Placobranchidae	Elysia	Elysia serca	77950	77950	FALSE	FALSE	FALSE
Chordata	Actinopteri	Carangiformes	Carangidae	Caranx	Caranx crysos	168612	168612	FALSE	FALSE	FALSE
Arthropoda	Insecta	Hymenoptera	Formicidae	Atta	Atta cephalotes	578531	578531	FALSE	FALSE	FALSE
Arthropoda	Insecta	Psocoptera	Liposcelidae	Liposcelis	Liposcelis paeta	661181	661181	FALSE	FALSE	FALSE
Porifera	Demospongiae	Verongiida	Ianthellidae	Hexadella	Hexadella pruvoti	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Perciformes	Serranidae	Serranus	Serranus tigrinus	167860	167860	TRUE	TRUE	TRUE
Mollusca	Polyplacophora	Neoloricata	Acanthochitonidae	Cryptoconchus	Cryptoconchus floridanus	79054	79054	FALSE	FALSE	FALSE
Cnidaria	Hydrozoa	Anthoathecata	Tubulariidae	Ralpharia	Ralpharia gorgoniae	NA	NA	TRUE	NA	TRUE
Cnidaria	Hydrozoa	Anthoathecata	Tubulariidae	Zyzzyzus	Zyzzyzus warreni	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Gobiiformes	Gobiidae	Coryphopterus	Coryphopterus dicrus	171752	171752	TRUE	TRUE	TRUE
