Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
Anthozoa	Actiniaria	Aliciidae	Lebrunia danae	Branching anemone	52782	52782
Anthozoa	Actiniaria	Aliciidae	Lebrunia sp. 1	NA	NA	NA
Anthozoa	Actiniaria	Aliciidae	Lebrunia sp. 2	NA	NA	NA
Anthozoa	Actiniaria	Phymanthidae	Heteranthus sp.	NA	NA	NA
Anthozoa	Actiniaria	Phymanthidae	Phymanthus crucifer	Red beaded anemone	52794	52794
Anthozoa	Actiniaria	Phymanthidae	Phymanthus sp. 1	NA	NA	NA
Anthozoa	Actiniaria	Phymanthidae	Phymanthus sp. 2	NA	NA	NA
Anthozoa	Actiniaria	Phymanthidae	Phymanthus sp. 3	NA	NA	NA
Anthozoa	Actiniaria	Sagartiidae	Sagartia sp.	NA	NA	NA
Anthozoa	Actiniaria	Stichodactylidae	Stichodactyla helianthus	Sun anemone	52830	52830
Anthozoa	Alcyonacea	Anthothelidae	Erythropodium caribaeorum	Encrusting gorgonian	52100	52100
Anthozoa	Alcyonacea	Briareidae	Briareum asbestinum	Corky Sea Finger, Deadman's Fingers	52083	52083
Anthozoa	Alcyonacea	Ellisellidae	Ctenocella barbadensis	Devil's sea whip	NA	NA
Anthozoa	Alcyonacea	Ellisellidae	Ellisella barbadensis	Devil's sea whip	52286	52286
Anthozoa	Alcyonacea	Gorgoniidae	Gorgonia flabellum	Common sea fan	52270	52270
Anthozoa	Alcyonacea	Gorgoniidae	Gorgonia mariae	Wide-Mesh sea fan	52271	52271
Anthozoa	Alcyonacea	Gorgoniidae	Gorgonia ventalina	Wide mesh sea fan	52272	52272
Anthozoa	Alcyonacea	Gorgoniidae	Leptogorgia spp.	NA	NA	NA
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia acerosa	Smooth sea feather	52255	52255
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia americana	Slimy sea plume	52259	52259
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia bipinnata	Bipinnate sea plume	52260	52260
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia rigida	NA	52256	52256
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia sp.	Sea plumes	NA	NA
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia anceps	Angular sea whip	52267	52267
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia citrina	Yellow sea whip	52268	52268
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia guadalupensis	Grooved-Blade sea whip	52266	52266
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia sp.	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Eunicea asperula	Knobby candelabra	52197	52197
Anthozoa	Alcyonacea	Plexauridae	Eunicea calyculata	Warty sea rod	52184	52184
Anthozoa	Alcyonacea	Plexauridae	Eunicea clavigera	NA	52190	52190
Anthozoa	Alcyonacea	Plexauridae	Eunicea flexuosa	Bent sea rod	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Eunicea fusca	Doughnut sea rod	52187	52187
Anthozoa	Alcyonacea	Plexauridae	Eunicea knighti	NA	52188	52188
Anthozoa	Alcyonacea	Plexauridae	Eunicea laciniata	NA	52189	52189
Anthozoa	Alcyonacea	Plexauridae	Eunicea laxispica	NA	52191	52191
Anthozoa	Alcyonacea	Plexauridae	Eunicea mammosa	Swollen knob	52192	52192
Anthozoa	Alcyonacea	Plexauridae	Eunicea pallida	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Eunicea sp.	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Eunicea sp. 1	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Eunicea sp. 2	NA	NA	NA
